Population of Prey      Population of Predators      Current Time  
1.98	                 1.90	                      0.00	

1.98	                 1.80	                      0.10	

1.99	                 1.71	                      0.20	

2.01	                 1.63	                      0.30	

2.05	                 1.55	                      0.40	

2.11	                 1.47	                      0.50	

2.17	                 1.41	                      0.60	

2.26	                 1.34	                      0.70	

2.35	                 1.28	                      0.80	

2.46	                 1.23	                      0.90	

2.59	                 1.19	                      1.00	

2.73	                 1.14	                      1.10	

2.89	                 1.11	                      1.20	

3.07	                 1.07	                      1.30	

3.27	                 1.05	                      1.40	

3.48	                 1.03	                      1.50	

3.72	                 1.01	                      1.60	

3.98	                 1.00	                      1.70	

4.26	                 1.00	                      1.80	

4.55	                 1.00	                      1.90	

4.87	                 1.00	                      2.00	

5.21	                 1.02	                      2.10	

5.57	                 1.04	                      2.20	

5.94	                 1.07	                      2.30	

6.33	                 1.11	                      2.40	

6.71	                 1.16	                      2.50	

7.10	                 1.22	                      2.60	

7.47	                 1.29	                      2.70	

7.82	                 1.38	                      2.80	

8.13	                 1.48	                      2.90	

8.39	                 1.59	                      3.00	

8.58	                 1.72	                      3.10	

8.69	                 1.87	                      3.20	

8.69	                 2.02	                      3.30	

8.59	                 2.19	                      3.40	

8.37	                 2.36	                      3.50	

8.05	                 2.52	                      3.60	

7.63	                 2.68	                      3.70	

7.14	                 2.82	                      3.80	

6.60	                 2.94	                      3.90	

6.03	                 3.03	                      4.00	

5.47	                 3.09	                      4.10	

4.94	                 3.12	                      4.20	

4.45	                 3.12	                      4.30	

4.01	                 3.09	                      4.40	

3.62	                 3.03	                      4.50	

3.28	                 2.96	                      4.60	

3.00	                 2.87	                      4.70	

2.76	                 2.77	                      4.80	

2.56	                 2.66	                      4.90	

2.40	                 2.55	                      5.00	

2.27	                 2.44	                      5.10	

2.17	                 2.32	                      5.20	

2.09	                 2.21	                      5.30	

2.04	                 2.10	                      5.40	

2.00	                 2.00	                      5.50	

1.98	                 1.90	                      5.60	

1.98	                 1.80	                      5.70	

1.99	                 1.71	                      5.80	

2.01	                 1.63	                      5.90	

2.05	                 1.55	                      6.00	

2.11	                 1.47	                      6.10	

2.18	                 1.40	                      6.20	

2.26	                 1.34	                      6.30	

2.36	                 1.28	                      6.40	

2.47	                 1.23	                      6.50	

2.59	                 1.18	                      6.60	

2.74	                 1.14	                      6.70	

2.90	                 1.11	                      6.80	

3.08	                 1.07	                      6.90	

3.27	                 1.05	                      7.00	

3.49	                 1.03	                      7.10	

3.73	                 1.01	                      7.20	

3.98	                 1.00	                      7.30	

4.26	                 1.00	                      7.40	

4.56	                 1.00	                      7.50	

4.88	                 1.00	                      7.60	

5.22	                 1.02	                      7.70	

5.58	                 1.04	                      7.80	

5.95	                 1.07	                      7.90	

6.34	                 1.11	                      8.00	

6.72	                 1.16	                      8.10	

7.11	                 1.22	                      8.20	

7.48	                 1.29	                      8.30	

7.83	                 1.38	                      8.40	

8.14	                 1.48	                      8.50	

8.40	                 1.60	                      8.60	

8.58	                 1.73	                      8.70	

8.69	                 1.87	                      8.80	

8.69	                 2.03	                      8.90	

8.59	                 2.19	                      9.00	

8.37	                 2.36	                      9.10	

8.04	                 2.53	                      9.20	

7.62	                 2.69	                      9.30	

7.13	                 2.83	                      9.40	

6.58	                 2.95	                      9.50	

6.02	                 3.04	                      9.60	

5.46	                 3.09	                      9.70	

4.93	                 3.12	                      9.80	

4.44	                 3.12	                      9.90	

4.00	                 3.08	                      10.00	
