Population of Prey      Population of Predators      Current Time  
2.06	                 1.94	                      0.00	

2.13	                 1.89	                      0.10	

2.20	                 1.83	                      0.20	

2.28	                 1.78	                      0.30	

2.37	                 1.74	                      0.40	

2.47	                 1.69	                      0.50	

2.57	                 1.65	                      0.60	

2.68	                 1.61	                      0.70	

2.80	                 1.58	                      0.80	

2.94	                 1.54	                      0.90	

3.08	                 1.51	                      1.00	

3.23	                 1.49	                      1.10	

3.39	                 1.46	                      1.20	

3.57	                 1.44	                      1.30	

3.75	                 1.43	                      1.40	

3.95	                 1.41	                      1.50	

4.16	                 1.40	                      1.60	

4.39	                 1.39	                      1.70	

4.63	                 1.38	                      1.80	

4.88	                 1.38	                      1.90	

5.15	                 1.39	                      2.00	

5.43	                 1.39	                      2.10	

5.72	                 1.40	                      2.20	

6.03	                 1.42	                      2.30	

6.36	                 1.43	                      2.40	

6.69	                 1.46	                      2.50	

7.03	                 1.49	                      2.60	

7.39	                 1.52	                      2.70	

7.75	                 1.57	                      2.80	

8.12	                 1.62	                      2.90	

8.49	                 1.67	                      3.00	

8.85	                 1.74	                      3.10	

9.21	                 1.81	                      3.20	

9.56	                 1.89	                      3.30	

9.89	                 1.98	                      3.40	

10.19	                 2.09	                      3.50	

10.46	                 2.20	                      3.60	

10.69	                 2.33	                      3.70	

10.87	                 2.46	                      3.80	

11.00	                 2.61	                      3.90	

11.06	                 2.77	                      4.00	

11.05	                 2.94	                      4.10	

10.97	                 3.11	                      4.20	

10.81	                 3.29	                      4.30	

10.57	                 3.48	                      4.40	

10.27	                 3.66	                      4.50	

9.89	                 3.84	                      4.60	

9.46	                 4.01	                      4.70	

8.99	                 4.17	                      4.80	

8.48	                 4.31	                      4.90	

7.95	                 4.44	                      5.00	

7.41	                 4.55	                      5.10	

6.88	                 4.63	                      5.20	

6.36	                 4.70	                      5.30	

5.86	                 4.74	                      5.40	

5.40	                 4.76	                      5.50	

4.96	                 4.75	                      5.60	

4.57	                 4.73	                      5.70	

4.20	                 4.70	                      5.80	

3.88	                 4.64	                      5.90	

3.58	                 4.58	                      6.00	

3.32	                 4.50	                      6.10	

3.09	                 4.41	                      6.20	

2.88	                 4.32	                      6.30	

2.70	                 4.22	                      6.40	

2.54	                 4.12	                      6.50	

2.40	                 4.01	                      6.60	

2.28	                 3.90	                      6.70	

2.18	                 3.79	                      6.80	

2.09	                 3.68	                      6.90	

2.01	                 3.57	                      7.00	

1.94	                 3.46	                      7.10	

1.89	                 3.35	                      7.20	

1.84	                 3.25	                      7.30	

1.81	                 3.14	                      7.40	

1.78	                 3.04	                      7.50	

1.76	                 2.94	                      7.60	

1.74	                 2.85	                      7.70	

1.74	                 2.76	                      7.80	

1.73	                 2.67	                      7.90	

1.74	                 2.58	                      8.00	

1.75	                 2.50	                      8.10	

1.77	                 2.41	                      8.20	

1.79	                 2.34	                      8.30	

1.82	                 2.26	                      8.40	

1.86	                 2.19	                      8.50	

1.90	                 2.12	                      8.60	

1.95	                 2.06	                      8.70	

2.00	                 2.00	                      8.80	

2.06	                 1.94	                      8.90	

2.13	                 1.88	                      9.00	

2.20	                 1.83	                      9.10	

2.28	                 1.78	                      9.20	

2.37	                 1.73	                      9.30	

2.47	                 1.69	                      9.40	

2.57	                 1.65	                      9.50	

2.69	                 1.61	                      9.60	

2.81	                 1.58	                      9.70	

2.94	                 1.54	                      9.80	

3.08	                 1.51	                      9.90	

3.24	                 1.49	                      10.00	
